Designator,Mid X,Mid Y,Rotation,Layer
C1,73.926,-39.3485,90.0,top
C2,75.958,-39.3485,90.0,top
C4,79.26,-34.7765,270.0,top
D1,76.466,-34.422,270.0,top
D2,42.7,-32.85,0.0,bottom
D9,38.55,-33.2,180.0,bottom
J1,34.0,-37.1,270.0,bottom
J2,63.766,-36.224,180.0,top
J3,57.924,-36.224,180.0,top
Q1,45.986,-40.772,180.0,top
R1,50.4075,-39.502,180.0,top
R2,53.7095,-41.534,180.0,top
R3,36.842,-33.914,0.0,top
R4,73.672,-34.3185,270.0,top
R5,36.842,-35.692,0.0,top
R6,41.92433,-35.596379,90.0,top
R7,38.874,-38.232,180.0,top
R8,42.7875,-38.232,180.0,top
R9,42.7,-34.5,180.0,bottom
U1,79.26,-39.248,270.0,top
U2,47.344,-35.984,270.0,top
